ID,County,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
LA-019,Calcasieu Parish,Louisiana,70.5,2.8,129,67.7
LA-021,Caldwell Parish,Louisiana,67.4,2.6,127,64.8
LA-023,Cameron Parish,Louisiana,71.3,2.8,129,68.4
LA-025,Catahoula Parish,Louisiana,67.8,2,124,65.7
LA-027,Claiborne Parish,Louisiana,66.5,3,129,63.5
LA-029,Concordia Parish,Louisiana,68,2,123,66
LA-031,De Soto Parish,Louisiana,67.8,3,129,64.9
LA-033,East Baton Rouge Parish,Louisiana,70.4,3.3,129,67.1
LA-035,East Carroll Parish,Louisiana,67.1,3,127,64.1
LA-037,East Feliciana Parish,Louisiana,69.3,3,129,66.3
LA-039,Evangeline Parish,Louisiana,69.3,2.1,125,67.2
LA-041,Franklin Parish,Louisiana,67.6,2.5,126,65
LA-043,Grant Parish,Louisiana,67.6,2,122,65.6
LA-045,Iberia Parish,Louisiana,70.5,2.4,128,68.1
LA-047,Iberville Parish,Louisiana,70.6,3,129,67.6
LA-049,Jackson Parish,Louisiana,67,3.1,129,63.9
LA-051,Jefferson Parish,Louisiana,71.5,2.7,129,68.7
LA-053,Jefferson Davis Parish,Louisiana,70.4,2.3,125,68.2
LA-055,Lafayette Parish,Louisiana,70.7,2.8,129,67.9
LA-057,Lafourche Parish,Louisiana,71.5,2.7,129,68.8
LA-059,La Salle Parish,Louisiana,67.7,2.2,124,65.6
LA-061,Lincoln Parish,Louisiana,66.7,3.2,130,63.6
LA-063,Livingston Parish,Louisiana,70.2,3.1,129,67.1
LA-065,Madison Parish,Louisiana,67.4,2.7,125,64.7
LA-067,Morehouse Parish,Louisiana,66.8,3,129,63.8
LA-069,Natchitoches Parish,Louisiana,68,2.6,129,65.4
LA-071,Orleans Parish,Louisiana,71.3,3.2,129,68.1
LA-073,Ouachita Parish,Louisiana,67.1,2.9,128,64.2
LA-075,Plaquemines Parish,Louisiana,71.8,2.9,129,68.9
LA-077,Pointe Coupee Parish,Louisiana,69.9,2.8,129,67.1
LA-079,Rapides Parish,Louisiana,68.4,2.1,121,66.3
LA-081,Red River Parish,Louisiana,67.8,3.1,129,64.7
LA-083,Richland Parish,Louisiana,67.3,2.7,127,64.6
LA-085,Sabine Parish,Louisiana,68.1,3,129,65.1
LA-087,St. Bernard Parish,Louisiana,71.3,3.1,129,68.2
LA-089,St. Charles Parish,Louisiana,71.2,2.8,129,68.4
LA-091,St. Helena Parish,Louisiana,68.9,2.9,129,66
LA-093,St. James Parish,Louisiana,70.8,2.9,129,67.9
LA-095,St. John the Baptist Parish,Louisiana,70.8,2.9,129,67.9
LA-097,St. Landry Parish,Louisiana,69.8,2.5,127,67.3
LA-099,St. Martin Parish,Louisiana,70.5,2.7,129,67.8
LA-101,St. Mary Parish,Louisiana,70.7,2.5,126,68.2
LA-103,St. Tammany Parish,Louisiana,70.1,3.3,129,66.8
LA-105,Tangipahoa Parish,Louisiana,69.3,2.9,129,66.4
LA-107,Tensas Parish,Louisiana,67.6,2.3,125,65.3
LA-109,Terrebonne Parish,Louisiana,71.5,2.6,126,68.9
LA-111,Union Parish,Louisiana,66.6,3,130,63.6
LA-113,Vermilion Parish,Louisiana,71,2.6,129,68.4
LA-115,Vernon Parish,Louisiana,68.7,2.9,129,65.8
LA-117,Washington Parish,Louisiana,68.9,3,129,65.9
LA-119,Webster Parish,Louisiana,67.1,3,130,64
LA-121,West Baton Rouge Parish,Louisiana,70.6,3.2,129,67.4
LA-123,West Carroll Parish,Louisiana,67,3,129,64
LA-125,West Feliciana Parish,Louisiana,69.4,2.8,129,66.6
LA-127,Winn Parish,Louisiana,67.4,2.5,127,64.8
ME-001,Androscoggin,Maine,47.8,4.7,130,43.1
ME-003,Aroostook,Maine,43.1,5.4,130,37.7
ME-005,Cumberland,Maine,48.1,4.2,130,43.9
ME-007,Franklin,Maine,43.3,4.9,130,38.4
ME-009,Hancock,Maine,47.3,4.3,130,43
ME-011,Kennebec,Maine,48,5,130,43
ME-013,Knox,Maine,47.6,4.3,130,43.3
ME-015,Lincoln,Maine,48.1,4.5,130,43.6
ME-017,Oxford,Maine,45.3,4.9,130,40.4
ME-019,Penobscot,Maine,46,4.9,130,41.1
ME-021,Piscataquis,Maine,43.5,5.2,130,38.3
ME-023,Sagadahoc,Maine,48.3,4.4,130,43.9
ME-025,Somerset,Maine,43.5,4.9,130,38.6
ME-027,Waldo,Maine,47.3,4.6,130,42.7
ME-029,Washington,Maine,46.4,4.4,128,42.1
ME-031,York,Maine,48.5,3.8,129,44.7
MD-001,Allegany,Maryland,54.5,3.2,130,51.3
MD-003,Anne Arundel,Maryland,59.1,3.7,129,55.4
MD-005,Baltimore,Maryland,56.9,3.9,128,53
MD-009,Calvert,Maryland,59.4,3.8,130,55.6
MD-011,Caroline,Maryland,58,3.4,128,54.6
MD-013,Carroll,Maryland,55.8,4,130,51.8
MD-015,Cecil,Maryland,56.8,3.4,129,53.3
MD-017,Charles,Maryland,59.8,4.1,130,55.7
MD-019,Dorchester,Maryland,59.1,3.4,127,55.6
MD-021,Frederick,Maryland,56.3,3.9,130,52.4
MD-023,Garrett,Maryland,51.3,4,130,47.2
MD-025,Harford,Maryland,56.9,3.6,129,53.2
MD-027,Howard,Maryland,56.8,3.9,128,52.9
MD-029,Kent,Maryland,58,3.4,129,54.6
MD-031,Montgomery,Maryland,57.6,4.1,130,53.4
MD-033,Prince George&#039;s,Maryland,58.8,3.9,130,55
MD-035,Queen Anne&#039;s,Maryland,58.3,3.6,129,54.7
MD-037,St. Mary&#039;s,Maryland,59.5,3.5,129,56
MD-039,Somerset,Maryland,59.4,3.3,125,56.1
MD-041,Talbot,Maryland,59,3.5,129,55.5
MD-043,Washington,Maryland,55.7,3.6,129,52.1
MD-045,Wicomico,Maryland,58.4,3.1,124,55.4
MD-047,Worcester,Maryland,58.8,3.2,125,55.6
MD-510,Baltimore City,Maryland,58.7,3.9,126,54.8
MD-511,Washington,District of Columbia,59.1,4,130,55.1
MA-001,Barnstable,Massachusetts,52,3.1,122,48.9
MA-003,Berkshire,Massachusetts,48.5,4.4,129,44.1
MA-005,Bristol,Massachusetts,52.7,3.7,126,49
MA-007,Dukes,Massachusetts,52.5,3.1,121,49.4
MA-009,Essex,Massachusetts,51.1,3.6,127,47.5
MA-011,Franklin,Massachusetts,50.1,4.7,130,45.3
MA-013,Hampden,Massachusetts,51,4.2,129,46.9
MA-015,Hampshire,Massachusetts,50.6,4.2,130,46.3
MA-017,Middlesex,Massachusetts,51.9,4.3,130,47.6
MA-019,Nantucket,Massachusetts,51.9,3.3,124,48.6
MA-021,Norfolk,Massachusetts,52.7,4.4,129,48.3
MA-023,Plymouth,Massachusetts,53,4.1,127,48.9
MA-025,Suffolk,Massachusetts,53,4.4,129,48.5
MA-027,Worcester,Massachusetts,50.8,4.6,129,46.2
MI-001,Alcona,Michigan,47.8,5.4,130,42.4
MI-003,Alger,Michigan,44.9,4.8,129,40.1
MI-005,Allegan,Michigan,52.3,4.6,130,47.7
MI-007,Alpena,Michigan,48.2,5.9,130,42.3
MI-009,Antrim,Michigan,48.8,6,130,42.7
MI-011,Arenac,Michigan,50,5.6,130,44.4
MI-013,Baraga,Michigan,43.9,5.7,130,38.2
MI-015,Barry,Michigan,51.7,4.8,130,46.9
MI-017,Bay,Michigan,51.2,5.6,130,45.6
MI-019,Benzie,Michigan,49,6.1,130,42.8
MI-021,Berrien,Michigan,53.4,4.9,130,48.5
MI-023,Branch,Michigan,52.2,4.7,130,47.5
MI-025,Calhoun,Michigan,52.1,5.1,130,47
MI-027,Cass,Michigan,52.7,4.8,130,47.8
MI-029,Charlevoix,Michigan,48.6,5.8,130,42.8
MI-031,Cheboygan,Michigan,47.8,5.8,130,41.9
MI-033,Chippewa,Michigan,45.1,5.4,130,39.7
MI-035,Clare,Michigan,48.6,5.2,130,43.4
MI-037,Clinton,Michigan,51.4,4.7,130,46.6
MI-039,Crawford,Michigan,47.5,5.6,130,41.9
MI-041,Delta,Michigan,45.8,4.7,128,41
MI-043,Dickinson,Michigan,45,5.6,130,39.4
MI-045,Eaton,Michigan,51.5,4.8,130,46.7
MI-047,Emmet,Michigan,47.8,5.9,130,41.9
MI-049,Genesee,Michigan,51.9,5.6,130,46.3
MI-051,Gladwin,Michigan,49.8,5.4,130,44.3
MI-053,Gogebic,Michigan,43.4,4.9,129,38.4
MI-055,Grand Traverse,Michigan,49.1,6.3,130,42.8
MI-057,Gratiot,Michigan,50.9,4.9,130,46
MI-059,Hillsdale,Michigan,52,5,130,47
MI-061,Houghton,Michigan,45.3,6,130,39.2
MI-063,Huron,Michigan,50.5,5.9,130,44.7
MI-065,Ingham,Michigan,51.2,4.8,130,46.4
MI-067,Ionia,Michigan,51.2,4.8,130,46.4
MI-069,Iosco,Michigan,49,5.5,130,43.4
MI-071,Iron,Michigan,43.5,5.6,130,37.9
MI-073,Isabella,Michigan,49.7,4.9,130,44.8
MI-075,Jackson,Michigan,51.5,4.9,130,46.6
MI-077,Kalamazoo,Michigan,52.6,5.1,130,47.5
MI-079,Kalkaska,Michigan,48,5.8,130,42.2
MI-081,Kent,Michigan,51.2,4.8,130,46.4
MI-083,Keweenaw,Michigan,44.7,6,130,38.8
MI-085,Lake,Michigan,48.5,4.5,129,44.1
MI-087,Lapeer,Michigan,51.6,5.7,130,46
MI-089,Leelanau,Michigan,49.2,6.3,130,42.8
MI-091,Lenawee,Michigan,53.1,5.4,130,47.7
MI-093,Livingston,Michigan,51.4,5.3,130,46.1
MI-095,Luce,Michigan,44.3,4.8,129,39.4
MI-097,Mackinac,Michigan,45.5,5.2,130,40.3
MI-099,Macomb,Michigan,53.6,6,130,47.5
MI-101,Manistee,Michigan,48.6,4.9,129,43.7
MI-103,Marquette,Michigan,44.2,5.4,130,38.8
MI-105,Mason,Michigan,48.9,4.4,129,44.5
MI-107,Mecosta,Michigan,48.9,4.6,129,44.3
MI-109,Menominee,Michigan,46.6,5.2,130,41.4
MI-111,Midland,Michigan,50.9,5.2,130,45.6
MI-113,Missaukee,Michigan,47.7,5.4,130,42.3
MI-115,Monroe,Michigan,54,5.3,130,48.7
MI-117,Montcalm,Michigan,50.1,4.9,130,45.2
MI-119,Montmorency,Michigan,48,6,130,42
MI-121,Muskegon,Michigan,51.4,5.2,130,46.1
MI-123,Newaygo,Michigan,49.7,4.7,130,45
MI-125,Oakland,Michigan,52.2,5.7,130,46.5
MI-127,Oceana,Michigan,49.9,5,130,44.9
MI-129,Ogemaw,Michigan,48.4,5.6,130,42.8
MI-131,Ontonagon,Michigan,44.6,5.5,130,39.2
MI-133,Osceola,Michigan,47.8,4.8,130,43
MI-135,Oscoda,Michigan,47.7,5.7,130,42
MI-137,Otsego,Michigan,47.5,6.1,130,41.4
MI-139,Ottawa,Michigan,52,4.9,130,47.2
MI-141,Presque Isle,Michigan,48,5.9,130,42.1
MI-143,Roscommon,Michigan,48,5.6,130,42.4
MI-145,Saginaw,Michigan,51.6,5.4,130,46.2
MI-147,St. Clair,Michigan,52.5,5.6,130,47
MI-149,St. Joseph,Michigan,52.7,4.7,130,47.9
MI-151,Sanilac,Michigan,51,5.5,130,45.5
MI-153,Schoolcraft,Michigan,45.2,4.4,128,40.8
MI-155,Shiawassee,Michigan,51.4,5,130,46.4
MI-157,Tuscola,Michigan,51.2,5.4,130,45.7
MI-159,Van Buren,Michigan,52.8,4.9,130,47.9
MI-161,Washtenaw,Michigan,51.9,5.1,130,46.8
MI-163,Wayne,Michigan,53.8,5.7,130,48.1
MI-165,Wexford,Michigan,47.8,5.3,130,42.5
MN-001,Aitkin,Minnesota,44.6,6.1,130,38.6
MN-003,Anoka,Minnesota,48.3,5.2,129,43.1
MN-005,Becker,Minnesota,44.3,5.5,130,38.8
MN-007,Beltrami,Minnesota,43.3,6.1,130,37.2
MN-009,Benton,Minnesota,47.2,5.9,130,41.3
MN-011,Big Stone,Minnesota,47.4,5,129,42.4
MN-013,Blue Earth,Minnesota,49,4.3,127,44.6
MN-015,Brown,Minnesota,49,4.7,127,44.4
MN-017,Carlton,Minnesota,44.1,5.8,130,38.3
MN-019,Carver,Minnesota,48.8,5.2,128,43.6
MN-021,Cass,Minnesota,44.8,6.1,130,38.7
MN-023,Chippewa,Minnesota,47.9,4.9,127,43
MN-025,Chisago,Minnesota,47.7,5.3,130,42.4
MN-027,Clay,Minnesota,45.7,5.5,129,40.2
MN-029,Clearwater,Minnesota,43.4,5.8,130,37.7
MN-031,Cook,Minnesota,40.4,5.1,129,35.3
MN-033,Cottonwood,Minnesota,48.9,5.2,130,43.7
MN-035,Crow Wing,Minnesota,45.9,6.3,130,39.6
MN-037,Dakota,Minnesota,49.4,5.2,128,44.2
MN-039,Dodge,Minnesota,48.2,5.2,129,43
MN-041,Douglas,Minnesota,45.9,5.8,130,40.1
MN-043,Faribault,Minnesota,49.2,4.4,127,44.7
MN-045,Fillmore,Minnesota,48,4.4,128,43.6
MN-047,Freeborn,Minnesota,48.6,4.7,128,43.9
MN-049,Goodhue,Minnesota,48.8,5.1,129,43.6
MN-051,Grant,Minnesota,46.5,5.4,130,41.1
MN-053,Hennepin,Minnesota,49,5.4,130,43.5
MN-055,Houston,Minnesota,49.3,4.5,128,44.9
MN-057,Hubbard,Minnesota,44.3,6,130,38.3
MN-059,Isanti,Minnesota,47.6,5.5,130,42.1
MN-061,Itasca,Minnesota,43.2,5.9,130,37.3
MN-063,Jackson,Minnesota,48.8,4.8,128,43.9
MN-065,Kanabec,Minnesota,46.5,5.9,130,40.6
MN-067,Kandiyohi,Minnesota,47.5,5.4,129,42.1
MN-069,Kittson,Minnesota,43.7,6.9,130,36.8
MN-071,Koochiching,Minnesota,42.3,5.8,130,36.5
MN-073,Lac qui Parle,Minnesota,47.9,4.6,127,43.3
MN-075,Lake,Minnesota,40.9,5,128,36
MN-077,Lake of the Woods,Minnesota,43.5,7.2,130,36.2
MN-079,Le Sueur,Minnesota,48.8,4.6,127,44.2
MN-081,Lincoln,Minnesota,46.7,4,127,42.8
MN-083,Lyon,Minnesota,48.2,4.5,127,43.7
MN-085,McLeod,Minnesota,48.8,5.5,130,43.3
MN-087,Mahnomen,Minnesota,43.8,5.5,129,38.3
MN-089,Marshall,Minnesota,43.1,5.7,130,37.4
MN-091,Martin,Minnesota,49.3,4.9,128,44.4
MN-093,Meeker,Minnesota,47.7,5.5,129,42.3
MN-095,Mille Lacs,Minnesota,46.6,6,130,40.6
MN-097,Morrison,Minnesota,46.6,6,130,40.6
MN-099,Mower,Minnesota,48.2,5.1,128,43.2
MN-101,Murray,Minnesota,47.8,4.5,127,43.3
MN-103,Nicollet,Minnesota,49.1,4.6,127,44.4
MN-105,Nobles,Minnesota,48,4.1,127,43.9
MN-107,Norman,Minnesota,44.8,5.2,129,39.6
MN-109,Olmsted,Minnesota,48.4,5.1,128,43.2
MN-111,Otter Tail,Minnesota,45.4,5.5,130,39.8
MN-113,Pennington,Minnesota,43,5.1,130,37.9
MN-115,Pine,Minnesota,45.9,6.1,130,39.8
MN-117,Pipestone,Minnesota,47.1,4,127,43.1
MN-119,Polk,Minnesota,44,5.3,129,38.7
MN-121,Pope,Minnesota,46.7,5.7,130,41
MN-123,Ramsey,Minnesota,49.1,5.2,128,43.9
MN-125,Red Lake,Minnesota,43.4,5,130,38.4
MN-127,Redwood,Minnesota,48.8,4.7,127,44.1
MN-129,Renville,Minnesota,48.6,5,129,43.6
MN-131,Rice,Minnesota,48.7,4.9,128,43.8
MN-133,Rock,Minnesota,48.5,4.3,127,44.2
MN-135,Roseau,Minnesota,42.9,6.7,130,36.2
MN-137,St. Louis,Minnesota,42.3,5.8,130,36.5
MN-139,Scott,Minnesota,49.3,5.1,128,44.2
MN-141,Sherburne,Minnesota,47.8,5.7,130,42.1
MN-143,Sibley,Minnesota,49.1,5.2,129,43.9
MN-145,Stearns,Minnesota,47.1,5.8,130,41.3
MN-147,Steele,Minnesota,48.5,5,128,43.5
MN-149,Stevens,Minnesota,47,5.4,130,41.6
MN-151,Swift,Minnesota,47.5,5.2,130,42.3
MN-153,Todd,Minnesota,46.2,6.2,130,40
MN-155,Traverse,Minnesota,47,5.1,129,41.9
MN-157,Wabasha,Minnesota,49.1,5.2,129,43.9
MN-159,Wadena,Minnesota,45.5,6.2,130,39.3
MN-161,Waseca,Minnesota,48.6,4.6,128,44
MN-163,Washington,Minnesota,48.8,5.1,128,43.7
MN-165,Watonwan,Minnesota,49,4.6,128,44.4
MN-167,Wilkin,Minnesota,46.3,5.2,129,41.1
MN-169,Winona,Minnesota,49.1,5,129,44.1
MN-171,Wright,Minnesota,48.2,5.6,130,42.6
MN-173,Yellow Medicine,Minnesota,48.1,4.4,127,43.7
MS-001,Adams,Mississippi,67.8,2.2,126,65.6
MS-003,Alcorn,Mississippi,62.7,2.7,129,60
MS-005,Amite,Mississippi,67.9,2.5,129,65.3
MS-007,Attala,Mississippi,65.9,3.3,130,62.6
MS-009,Benton,Mississippi,62.9,2.6,129,60.3
MS-011,Bolivar,Mississippi,65.7,2.9,129,62.8
MS-013,Calhoun,Mississippi,64.4,2.2,124,62.2
MS-015,Carroll,Mississippi,66.6,4,130,62.6
MS-017,Chickasaw,Mississippi,64.8,2.5,128,62.3
MS-019,Choctaw,Mississippi,65.1,3,129,62.1
MS-021,Claiborne,Mississippi,67.4,2.4,127,65
MS-023,Clarke,Mississippi,67.4,3.2,129,64.2
MS-025,Clay,Mississippi,65.6,2.9,129,62.7
MS-027,Coahoma,Mississippi,65.4,3.1,130,62.2
MS-029,Copiah,Mississippi,67.4,2.6,128,64.8
MS-031,Covington,Mississippi,67.5,2.7,129,64.8
MS-033,DeSoto,Mississippi,64,2.4,127,61.6
MS-035,Forrest,Mississippi,68.2,2.7,128,65.5
MS-037,Franklin,Mississippi,67.5,2.3,129,65.1
MS-039,George,Mississippi,69.2,3.3,129,65.9
MS-041,Greene,Mississippi,68.4,2.8,129,65.5
MS-043,Grenada,Mississippi,65.6,3.1,129,62.6
MS-045,Hancock,Mississippi,69.7,3.3,129,66.5
MS-047,Harrison,Mississippi,69.4,3,129,66.4
MS-049,Hinds,Mississippi,67.6,3,128,64.6
MS-051,Holmes,Mississippi,67.4,3.9,130,63.5
MS-053,Humphreys,Mississippi,67.9,4,130,63.9
MS-055,Issaquena,Mississippi,67.3,3.1,127,64.2
MS-057,Itawamba,Mississippi,64.2,2.8,129,61.4
MS-059,Jackson,Mississippi,70,3.5,129,66.5
MS-061,Jasper,Mississippi,67.2,3.2,129,64
MS-063,Jefferson,Mississippi,67.4,2.3,127,65.1
MS-065,Jefferson Davis,Mississippi,67.6,2.7,129,64.9
MS-067,Jones,Mississippi,67.7,2.7,129,65
MS-069,Kemper,Mississippi,66.2,3,130,63.2
MS-071,Lafayette,Mississippi,63.7,1.9,120,61.7
MS-073,Lamar,Mississippi,68.2,2.7,128,65.5
MS-075,Lauderdale,Mississippi,66.9,3.3,130,63.5
MS-077,Lawrence,Mississippi,67.7,2.6,129,65.1
MS-079,Leake,Mississippi,66.4,3.3,130,63.1
MS-081,Lee,Mississippi,64.7,2.9,128,61.8
MS-083,Leflore,Mississippi,67.5,4.3,130,63.2
MS-085,Lincoln,Mississippi,67.3,2.4,129,64.9
MS-087,Lowndes,Mississippi,65.9,2.9,129,63
MS-089,Madison,Mississippi,67.3,3.1,128,64.2
MS-091,Marion,Mississippi,68.4,2.7,129,65.7
MS-093,Marshall,Mississippi,63.3,2.4,126,60.9
MS-095,Monroe,Mississippi,65.2,2.8,129,62.4
MS-097,Montgomery,Mississippi,65.2,3,129,62.3
MS-099,Neshoba,Mississippi,66.2,3.4,130,62.8
MS-101,Newton,Mississippi,66.7,3.5,129,63.3
MS-103,Noxubee,Mississippi,66.2,3,129,63.1
MS-105,Oktibbeha,Mississippi,65.8,3.1,129,62.7
MS-107,Panola,Mississippi,64.5,2.4,128,62.1
MS-109,Pearl River,Mississippi,69,3.2,129,65.8
MS-111,Perry,Mississippi,68.3,2.7,129,65.5
MS-113,Pike,Mississippi,67.8,2.5,127,65.3
MS-115,Pontotoc,Mississippi,64.1,2.3,126,61.7
MS-117,Prentiss,Mississippi,63.5,2.8,129,60.7
MS-119,Quitman,Mississippi,65.4,3,129,62.4
MS-121,Rankin,Mississippi,67.2,3,129,64.1
MS-123,Scott,Mississippi,66.6,3.3,129,63.4
MS-125,Sharkey,Mississippi,67.5,3.3,130,64.1
MS-127,Simpson,Mississippi,67.3,2.8,129,64.4
MS-129,Smith,Mississippi,67.1,3.1,129,64.1
MS-131,Stone,Mississippi,68.8,3,129,65.8
MS-133,Sunflower,Mississippi,66.9,3.6,130,63.2
MS-135,Tallahatchie,Mississippi,66,3.3,129,62.7
MS-137,Tate,Mississippi,64,2.2,127,61.8
MS-139,Tippah,Mississippi,62.9,2.7,129,60.2
MS-141,Tishomingo,Mississippi,62.9,2.8,129,60.1
MS-143,Tunica,Mississippi,64.7,2.7,127,62
MS-145,Union,Mississippi,63.8,2.6,128,61.2
MS-147,Walthall,Mississippi,68.1,2.6,129,65.4
MS-149,Warren,Mississippi,67.6,2.9,127,64.7
MS-151,Washington,Mississippi,66.8,3.1,130,63.7
MS-153,Wayne,Mississippi,67.5,2.7,129,64.8
MS-155,Webster,Mississippi,64.8,2.6,129,62.2
MS-157,Wilkinson,Mississippi,68.4,2.5,128,65.9
MS-159,Winston,Mississippi,65.7,3.2,130,62.4
MS-161,Yalobusha,Mississippi,64.6,2.4,127,62.2
MS-163,Yazoo,Mississippi,67.8,3.4,130,64.3
MO-001,Adair,Missouri,54.9,3.8,129,51.1
MO-003,Andrew,Missouri,56.2,4,129,52.3
MO-005,Atchison,Missouri,55.1,3.6,127,51.5
MO-007,Audrain,Missouri,56.3,3.1,127,53.2
MO-009,Barry,Missouri,59.9,3.6,129,56.3
MO-011,Barton,Missouri,59.5,2.8,125,56.8
MO-013,Bates,Missouri,58.9,3.3,129,55.6
MO-015,Benton,Missouri,58,3,128,55
MO-017,Bollinger,Missouri,59.2,3,128,56.2
MO-019,Boone,Missouri,57.4,3.4,129,54
MO-021,Buchanan,Missouri,57,4,129,53
MO-023,Butler,Missouri,60.8,2.8,128,58
MO-025,Caldwell,Missouri,55.7,3.3,129,52.3
MO-027,Callaway,Missouri,57.7,3.5,129,54.2
MO-029,Camden,Missouri,59.2,3.8,129,55.4
MO-031,Cape Girardeau,Missouri,59.6,3.4,129,56.2
MO-033,Carroll,Missouri,56.2,2.9,126,53.3
MO-035,Carter,Missouri,59.6,3.5,129,56.1
MO-037,Cass,Missouri,58.3,4.1,129,54.2
MO-039,Cedar,Missouri,59.9,3.7,129,56.3
MO-041,Chariton,Missouri,56.4,3.2,126,53.3
MO-043,Christian,Missouri,58.5,3.1,129,55.4
MO-045,Clark,Missouri,54.7,3,126,51.7
MO-047,Clay,Missouri,57.3,3.9,129,53.4
MO-049,Clinton,Missouri,56.4,4,129,52.4
MO-051,Cole,Missouri,58.8,3.7,129,55.1
MO-053,Cooper,Missouri,57.8,3.7,129,54.1
MO-055,Crawford,Missouri,57.5,3.3,129,54.2
MO-057,Dade,Missouri,59.8,3.6,129,56.3
MO-059,Dallas,Missouri,58.4,3.2,129,55.2
MO-061,Daviess,Missouri,55.6,3.5,129,52
MO-063,DeKalb,Missouri,56,4,129,52
MO-065,Dent,Missouri,57,2.5,126,54.5
MO-067,Douglas,Missouri,58.8,3.5,129,55.3
MO-069,Dunklin,Missouri,62.3,3.2,129,59.1
MO-071,Franklin,Missouri,57.9,3.6,129,54.3
MO-073,Gasconade,Missouri,58.1,3.8,130,54.2
MO-075,Gentry,Missouri,55.4,4.1,129,51.4
MO-077,Greene,Missouri,58.8,3.5,129,55.3
MO-079,Grundy,Missouri,55.3,3.2,128,52.1
MO-081,Harrison,Missouri,54.9,3.9,129,51
MO-083,Henry,Missouri,58.3,3,127,55.3
MO-085,Hickory,Missouri,58.5,3.1,129,55.4
MO-087,Holt,Missouri,56.2,3.8,129,52.4
MO-089,Howard,Missouri,57.3,3.6,129,53.7
MO-091,Howell,Missouri,59.8,4.4,130,55.4
MO-093,Iron,Missouri,57.8,3.4,129,54.3
MO-095,Jackson,Missouri,57.9,4,129,53.9
MO-097,Jasper,Missouri,60.5,3.5,129,57
MO-099,Jefferson,Missouri,58.8,3.6,129,55.1
MO-101,Johnson,Missouri,57.9,3.8,129,54
MO-103,Knox,Missouri,54.8,3.4,129,51.4
MO-105,Laclede,Missouri,58.5,3.3,129,55.1
MO-107,Lafayette,Missouri,57.3,3.7,129,53.6
MO-109,Lawrence,Missouri,59.3,3.3,129,55.9
MO-111,Lewis,Missouri,55.1,2.8,126,52.3
MO-113,Lincoln,Missouri,56.9,3.3,128,53.6
MO-115,Linn,Missouri,55.5,3,126,52.5
MO-117,Livingston,Missouri,55.7,2.9,125,52.8
MO-119,McDonald,Missouri,61.2,4,129,57.3
MO-121,Macon,Missouri,55.7,3.6,128,52.1
MO-123,Madison,Missouri,58.4,3.2,129,55.2
MO-125,Maries,Missouri,58.9,3.8,129,55.1
MO-127,Marion,Missouri,55.9,3.1,127,52.8
MO-129,Mercer,Missouri,54.5,3.5,128,51
MO-131,Miller,Missouri,59.4,4.1,129,55.3
MO-133,Mississippi,Missouri,61.2,3.5,129,57.8
MO-135,Moniteau,Missouri,58.2,3.7,129,54.5
MO-137,Monroe,Missouri,55.9,3,127,52.9
MO-139,Montgomery,Missouri,56.9,3.4,129,53.5
MO-141,Morgan,Missouri,58.2,3.7,129,54.4
MO-143,New Madrid,Missouri,61.7,3.2,128,58.5
MO-145,Newton,Missouri,61.2,4.3,130,56.9
MO-147,Nodaway,Missouri,55,3.9,129,51
MO-149,Oregon,Missouri,60.1,4,130,56.1
MO-151,Osage,Missouri,58.8,3.8,129,54.9
MO-153,Ozark,Missouri,59.7,3.5,129,56.2
MO-155,Pemiscot,Missouri,62.7,3.4,130,59.3
MO-157,Perry,Missouri,58.8,3.3,129,55.4
MO-159,Pettis,Missouri,57.6,3.4,129,54.2
MO-161,Phelps,Missouri,58.3,3.2,129,55.1
MO-163,Pike,Missouri,56.3,3.3,128,53
MO-165,Platte,Missouri,57.4,3.9,129,53.5
MO-167,Polk,Missouri,59.3,3.8,130,55.5
MO-169,Pulaski,Missouri,59,3.7,128,55.3
MO-171,Putnam,Missouri,54.1,3.2,127,50.9
MO-173,Ralls,Missouri,56.2,3.3,128,52.9
MO-175,Randolph,Missouri,56.3,3.4,127,52.9
MO-177,Ray,Missouri,56.5,3.4,129,53.1
MO-179,Reynolds,Missouri,58.1,3.3,129,54.8
MO-181,Ripley,Missouri,60.6,3.5,130,57.1
MO-183,St. Charles,Missouri,58.3,3.6,129,54.6
MO-185,St. Clair,Missouri,58.9,2.8,127,56
MO-186,Ste. Genevieve,Missouri,58.5,3.3,129,55.2
MO-187,St. Francois,Missouri,58.2,3.6,129,54.6
MO-189,St. Louis,Missouri,58.8,3.6,129,55.2
MO-195,Saline,Missouri,57.2,3.4,129,53.8
MO-197,Schuyler,Missouri,54.4,3.7,129,50.7
MO-199,Scotland,Missouri,54.6,3.6,129,51
MO-201,Scott,Missouri,60.7,3.4,129,57.3
MO-203,Shannon,Missouri,58.9,3.6,130,55.3
MO-205,Shelby,Missouri,55,2.8,126,52.1
MO-207,Stoddard,Missouri,60.8,2.8,128,57.9
MO-209,Stone,Missouri,59.4,3,129,56.4
MO-211,Sullivan,Missouri,54.8,3.3,128,51.5
MO-213,Taney,Missouri,59.7,3.1,129,56.6
MO-215,Texas,Missouri,58.1,3.2,128,54.9
MO-217,Vernon,Missouri,59.3,2.9,127,56.4
MO-219,Warren,Missouri,57.4,3.6,129,53.7
MO-221,Washington,Missouri,58,3.7,129,54.2
MO-223,Wayne,Missouri,59.2,2.8,128,56.3
